distance_km,hour_of_day,day_of_week,month,priority,speed_kmh
2.254,21,5,5,Express,16.7
3.206,21,3,3,Standard,27.16
1.426,5,4,2,Standard,12.43
3.256,0,6,1,Express,13.79
1.549,15,5,1,Standard,9.08
2.03,11,4,2,Standard,6.71
1.348,19,4,3,Standard,13.98
7.763,18,1,5,Standard,13.86
1.607,16,4,5,Express,12.79
3.121,19,3,5,Standard,9.07
2.73,18,6,2,Standard,8.33
3.701,5,0,2,Express,15.87
0.611,2,6,2,Express,18.64
1.07,14,4,4,Standard,13.15
2.05,20,3,5,Standard,16.74
2.076,13,6,2,Standard,16.68
1.23,23,4,2,Standard,10.44
0.821,10,4,4,Standard,11.96
0.71,2,4,6,Standard,8.09
0.791,8,5,4,Standard,7.15
2.49,7,1,2,Standard,17.96
19.855,9,5,5,Standard,28.76
1.417,11,6,3,Standard,9.89
3.583,12,5,1,Standard,11.75
4.708,20,2,3,Express,30.61
1.565,16,5,6,Express,8.89
1.511,12,5,6,Standard,4.92
2.326,0,5,4,Standard,12.67
1.246,0,2,5,Standard,8.14
2.658,22,6,4,Express,21.11
1.183,11,1,2,Express,8.79
6.239,13,4,2,Standard,13.25
0.721,8,1,6,Standard,5.69
0.857,12,0,1,Standard,9.5
4.807,22,5,3,Standard,16.25
15.538,23,0,5,Standard,20.07
1.505,11,0,4,Standard,12.07
2.626,12,2,2,Standard,8.42
3.24,10,6,2,Standard,14.15
3.951,14,0,2,Express,33.34
4.472,19,0,3,Express,20.13
20.135,16,0,4,Standard,25.01
1.428,11,2,6,Standard,9.72
1.128,15,6,6,Standard,6.5
7.557,2,2,3,Standard,18.27
0.748,2,6,2,Standard,11.41
0.955,13,1,5,Express,19.76
6.147,10,3,2,Standard,11.9
13.806,14,4,1,Standard,31.42
1.187,7,4,4,Standard,13.88
1.663,11,4,2,Standard,5.08
1.226,14,6,4,Express,12.28
3.226,21,0,6,Express,13.11
0.787,23,5,3,Standard,17.81
1.111,21,2,2,Standard,24.38
2.856,4,0,2,Standard,17.57
0.856,6,5,3,Express,17.11
2.152,23,3,6,Standard,17.25
0.763,11,5,4,Standard,17.27
2.644,18,4,3,Standard,11.2
3.652,18,5,3,Standard,11.04
1.39,13,0,2,Express,15.95
7.105,3,2,4,Standard,13.72
1.218,15,0,1,Express,10.09
0.901,1,4,1,Standard,11.54
1.603,22,0,2,Standard,10.32
1.029,20,1,3,Express,10.89
3.339,22,0,2,Standard,16.96
6.695,22,6,5,Standard,34.93
2.045,18,1,2,Standard,11.15
5.988,21,5,1,Standard,17.55
2.653,2,6,3,Express,18.45
1.486,21,6,4,Standard,18.78
5.803,4,6,4,Express,17.12
4.956,14,6,3,Standard,13.71
1.69,9,2,1,Express,9.97
3.461,21,0,3,Standard,14.37
0.878,18,6,3,Express,17.5
1.027,6,3,3,Standard,30.29
1.272,10,3,6,Express,15.16
0.746,12,1,1,Standard,4.06
1.339,0,2,6,Standard,12.99
1.78,21,1,2,Express,20.04
1.569,14,2,2,Standard,10.2
1.881,9,1,2,Standard,5.75
2.588,10,0,2,Standard,10.51
1.49,0,3,3,Standard,22.26
1.273,19,1,1,Express,19.23
3.0,14,3,3,Standard,16.44
18.119,1,6,3,Standard,29.18
0.978,9,6,3,Express,23.81
4.661,8,2,6,Standard,11.92
1.619,16,4,2,Standard,2.72
2.349,14,4,4,Standard,10.26
9.625,10,0,6,Standard,13.76
0.806,1,5,3,Standard,7.5
0.631,16,1,4,Standard,11.53
1.483,4,6,3,Standard,16.89
0.392,0,4,4,Standard,3.45
0.642,21,6,4,Standard,3.71
6.74,2,6,3,Standard,22.51
1.995,22,5,4,Standard,7.38
10.525,0,6,6,Standard,27.56
6.679,14,6,1,Standard,13.85
1.496,10,2,2,Standard,13.95
1.226,17,1,2,Standard,9.23
3.314,13,0,2,Standard,20.67
0.934,18,4,2,Standard,25.66
1.976,21,5,6,Express,16.79
1.739,13,5,3,Standard,10.76
18.891,6,1,1,Standard,19.45
2.59,9,1,5,Standard,13.94
2.335,8,2,5,Standard,16.39
2.803,11,0,1,Standard,14.29
0.848,16,0,6,Standard,14.13
2.174,11,2,4,Standard,8.88
4.584,1,5,3,Standard,30.73
0.767,19,6,5,Standard,12.38
4.657,3,4,2,Express,24.0
1.906,20,2,2,Standard,14.91
1.269,19,4,2,Standard,5.59
13.637,13,2,2,Standard,19.16
1.826,3,6,6,Standard,16.27
4.165,9,3,6,Standard,10.55
1.146,10,5,4,Standard,10.69
5.487,22,2,6,Standard,20.9
3.1,12,5,3,Express,15.83
0.795,2,6,4,Standard,6.75
5.155,18,4,4,Standard,10.68
13.963,16,3,4,Standard,20.38
2.131,19,5,6,Standard,5.0
1.168,11,5,2,Standard,5.55
0.813,18,0,2,Standard,10.09
1.543,14,5,4,Standard,13.01
0.555,23,6,1,Standard,11.42
1.0,16,3,1,Standard,11.73
3.248,19,6,4,Express,24.29
3.061,15,5,3,Standard,23.75
1.413,18,1,2,Standard,4.88
0.994,20,6,3,Standard,9.59
1.033,1,3,4,Standard,13.38
1.291,21,3,4,Standard,15.54
2.141,1,6,6,Standard,15.42
1.302,23,1,5,Standard,6.55
2.72,13,0,3,Express,13.49
18.555,15,2,5,Standard,11.6
2.313,11,3,5,Standard,11.63
0.733,17,2,6,Standard,3.39
0.672,21,3,2,Standard,14.06
5.634,21,4,6,Standard,11.5
11.22,10,4,6,Standard,22.0
3.969,19,3,3,Standard,15.5
2.282,9,3,3,Express,45.6
5.663,4,5,4,Express,36.09
1.339,11,3,6,Standard,13.32
1.508,8,2,2,Express,10.67
0.784,10,2,1,Standard,10.53
3.099,0,6,3,Standard,11.51
1.631,6,1,6,Standard,30.26
6.3,13,2,1,Standard,20.21
3.028,20,4,2,Standard,11.37
0.639,2,6,2,Standard,8.79
1.34,17,4,6,Standard,3.28
1.894,17,1,4,Standard,11.94
1.741,18,4,5,Standard,10.08
2.351,11,6,1,Express,14.94
6.287,2,6,2,Standard,18.33
2.059,11,3,5,Standard,9.47
3.528,0,6,5,Standard,20.55
9.209,23,3,6,Express,34.44
3.881,7,2,2,Standard,17.82
12.978,12,2,3,Standard,14.13
6.793,18,1,5,Express,10.94
0.641,7,2,1,Standard,5.89
2.163,15,5,4,Standard,10.69
5.999,4,5,3,Standard,20.57
8.619,21,1,5,Standard,11.96
2.276,17,3,1,Standard,10.55
16.579,15,0,5,Standard,19.38
3.508,22,4,1,Standard,24.96
1.455,12,1,2,Express,7.39
10.214,4,3,6,Standard,23.51
1.961,14,2,4,Standard,6.01
3.193,18,4,4,Express,9.52
15.892,7,6,5,Standard,37.25
1.337,17,3,5,Express,6.75
1.301,14,4,4,Standard,6.63
0.864,1,5,3,Standard,3.44
16.077,12,5,2,Express,62.81
4.407,3,6,6,Standard,19.4
4.42,0,6,1,Standard,9.38
5.754,5,6,6,Express,37.71
20.57,16,5,6,Express,23.17
2.553,21,2,5,Standard,9.42
8.331,3,2,1,Standard,29.01
1.062,20,5,4,Express,6.24
2.115,13,4,5,Express,13.1
2.444,12,5,4,Standard,22.33
1.385,8,2,3,Standard,4.4
1.34,19,2,5,Standard,10.49
0.488,10,0,3,Standard,7.38
3.032,19,4,5,Standard,14.32
3.751,15,6,6,Standard,8.75
1.108,19,4,2,Standard,11.24
1.601,12,6,3,Standard,19.15
0.93,9,6,2,Express,13.69
2.383,19,2,2,Standard,9.95
3.861,12,4,6,Express,11.26
5.493,14,2,3,Standard,13.19
1.024,8,4,3,Standard,12.85
2.199,14,5,1,Standard,13.4
5.545,13,1,6,Express,18.0
2.596,17,6,1,Standard,12.84
2.253,15,6,1,Standard,17.94
3.855,20,4,5,Express,23.24
1.289,12,6,3,Standard,11.87
2.619,9,4,1,Standard,7.27
0.626,13,6,1,Standard,9.39
4.083,19,2,5,Standard,20.22
1.341,17,3,5,Express,9.7
3.578,11,1,3,Express,10.59
2.063,10,5,5,Standard,32.29
3.139,13,1,6,Standard,7.36
1.682,7,1,6,Express,13.46
4.127,13,2,1,Standard,12.23
0.326,19,3,4,Standard,5.23
1.219,20,2,2,Express,9.02
1.503,19,4,4,Standard,3.97
1.28,5,1,1,Standard,18.07
4.438,21,1,2,Express,15.29
3.901,23,2,1,Standard,15.82
21.054,12,6,6,Standard,37.14
2.128,6,0,4,Standard,14.19
7.75,19,4,3,Express,17.47
1.154,22,0,5,Express,23.62
4.191,13,1,5,Standard,6.55
2.214,15,1,2,Standard,10.41
3.095,9,0,2,Standard,12.37
3.441,1,5,1,Express,15.69
0.605,15,4,1,Standard,6.66
0.869,11,2,2,Standard,17.68
2.079,14,6,4,Express,34.33
3.773,19,5,6,Standard,19.26
1.666,18,4,2,Standard,12.63
2.99,9,0,6,Standard,12.49
1.267,22,3,6,Standard,20.0
1.863,11,2,1,Standard,11.79
3.541,21,2,3,Express,14.04
1.217,23,2,4,Standard,21.17
1.907,12,6,1,Express,18.99
2.74,6,1,4,Standard,15.51
0.726,16,4,1,Standard,10.13
1.308,22,1,1,Standard,12.72
4.978,20,5,6,Express,14.09
4.672,20,5,2,Standard,10.56
6.071,22,1,4,Standard,11.86
1.192,13,6,1,Standard,14.9
2.862,22,1,1,Express,18.36
3.951,14,0,1,Standard,14.71
4.453,19,3,6,Standard,13.03
2.107,23,0,3,Standard,16.32
4.03,15,5,3,Standard,8.42
6.004,5,6,3,Standard,13.3
2.858,8,4,5,Express,12.28
2.264,13,4,1,Standard,16.02
2.986,8,1,1,Standard,8.31
1.734,19,4,1,Standard,8.98
2.013,10,5,4,Standard,7.74
2.206,17,1,6,Standard,5.91
0.904,22,4,6,Express,27.32
2.469,19,3,3,Standard,13.76
1.725,19,2,1,Standard,12.13
1.662,17,0,1,Standard,11.97
0.614,12,1,3,Standard,8.3
3.374,22,4,4,Standard,13.33
1.645,18,2,6,Standard,5.98
3.278,23,5,6,Standard,10.59
0.777,16,0,5,Express,7.55
1.725,8,0,3,Standard,11.19
4.94,0,4,3,Standard,15.64
1.349,7,3,1,Standard,8.94
5.253,18,5,6,Standard,12.1
5.419,20,0,6,Standard,21.65
5.024,8,0,3,Standard,16.56
2.818,16,4,1,Standard,13.42
0.968,12,3,6,Standard,5.46
20.225,20,3,4,Standard,34.36
7.305,4,4,5,Standard,16.97
0.559,17,3,5,Standard,12.28
2.901,8,2,6,Express,39.12
4.441,21,3,4,Standard,13.94
1.43,12,1,2,Standard,6.51
4.784,22,6,3,Standard,27.04
1.039,23,4,6,Standard,24.3
1.355,18,0,4,Standard,20.93
1.338,16,3,2,Standard,22.51
1.454,8,1,3,Standard,9.53
0.958,19,0,3,Standard,25.16
5.46,15,3,6,Express,14.1
1.929,19,6,2,Standard,18.98
0.591,17,3,1,Standard,3.34
0.867,13,6,3,Standard,9.69
5.284,1,6,1,Standard,19.79
0.603,6,0,4,Standard,23.09
0.76,21,0,6,Express,14.2
2.157,14,2,3,Standard,18.1
0.785,15,2,6,Standard,12.18
2.867,7,4,3,Standard,16.0
6.69,1,6,1,Standard,24.23
11.459,1,3,5,Standard,23.74
1.588,23,5,2,Standard,6.9
1.951,19,5,4,Standard,8.76
2.442,19,1,2,Standard,13.1
2.509,18,4,2,Standard,17.89
2.911,21,6,2,Standard,12.03
2.019,21,2,2,Express,13.86
5.759,20,2,2,Standard,24.14
1.005,22,3,6,Standard,11.49
1.276,11,3,2,Standard,10.59
1.057,11,4,2,Express,9.72
1.147,21,6,6,Standard,10.7
3.346,16,5,1,Express,18.1
1.951,14,4,4,Standard,6.78
0.848,8,3,2,Express,11.82
3.662,23,6,1,Standard,15.49
2.224,22,2,3,Standard,24.19
1.269,23,0,2,Standard,16.62
2.468,19,5,6,Standard,13.42
0.739,14,1,6,Standard,14.31
0.911,22,4,1,Standard,14.51
3.131,20,2,2,Standard,14.42
0.587,10,0,5,Standard,15.64
1.747,0,6,5,Standard,12.55
0.887,22,4,4,Standard,14.44
3.095,20,5,4,Standard,10.53
1.824,0,4,1,Standard,17.56
12.287,13,5,5,Standard,16.35
1.552,12,5,6,Standard,5.96
20.139,18,3,3,Standard,31.54
1.842,21,3,1,Express,12.02
0.662,22,5,4,Standard,7.38
6.175,21,3,3,Express,20.61
1.795,21,5,5,Standard,7.97
3.696,18,4,3,Standard,13.83
6.44,20,2,3,Standard,29.99
1.725,17,0,5,Express,5.46
24.447,21,4,6,Standard,43.94
3.879,11,0,3,Standard,15.0
2.406,7,4,3,Standard,14.99
1.058,16,2,4,Standard,9.34
1.147,1,5,5,Standard,22.08
0.891,8,4,5,Standard,6.26
3.208,13,2,2,Standard,8.55
1.981,11,4,3,Standard,12.76
1.485,17,5,1,Express,15.36
5.122,8,0,6,Standard,10.67
0.672,22,4,5,Standard,2.68
4.449,13,5,5,Standard,11.7
1.535,15,5,4,Standard,8.47
0.787,18,2,1,Standard,7.78
20.903,23,1,2,Standard,47.75
2.091,10,0,2,Standard,9.81
2.253,22,6,5,Standard,16.0
1.25,17,4,4,Express,14.1
2.978,0,3,6,Standard,15.06
7.719,22,0,3,Standard,16.63
3.5,0,5,6,Standard,16.3
7.034,22,4,3,Express,26.32
0.607,8,0,2,Standard,11.32
1.114,10,6,4,Standard,18.74
1.183,8,4,5,Standard,6.58
1.78,16,5,5,Standard,13.66
2.243,18,1,2,Standard,9.12
9.092,2,2,4,Standard,27.93
1.417,19,2,5,Standard,5.69
0.916,15,1,4,Standard,3.52
1.202,17,0,1,Standard,6.02
1.917,16,0,4,Express,12.79
1.192,14,5,5,Express,11.79
1.327,8,4,5,Standard,6.32
2.847,10,0,1,Standard,12.59
2.869,22,3,2,Standard,13.92
5.385,8,6,6,Standard,19.35
23.12,20,5,1,Express,41.92
4.411,10,4,3,Standard,8.81
2.016,20,1,4,Standard,6.25
1.366,16,5,6,Standard,13.36
3.549,14,2,6,Standard,11.13
1.777,1,6,5,Express,8.93
2.237,17,1,6,Express,19.23
1.838,7,2,2,Standard,9.86
9.592,10,1,5,Standard,13.47
1.257,12,2,1,Standard,10.5
2.409,1,5,5,Standard,22.12
1.957,8,1,5,Standard,10.01
3.313,20,6,1,Standard,18.21
2.591,22,1,1,Standard,13.64
2.701,16,6,3,Standard,9.32
3.326,23,4,3,Standard,11.08
3.69,23,5,2,Express,20.04
2.387,0,5,4,Express,15.4
2.941,18,5,5,Standard,8.57
1.863,8,3,2,Standard,6.71
20.272,22,0,3,Standard,28.66
2.388,2,2,1,Standard,21.07
1.519,19,3,2,Express,14.28
4.343,23,4,1,Standard,19.45
3.531,14,4,5,Standard,12.53
1.715,9,2,4,Express,11.87
2.851,8,3,3,Standard,7.4
2.151,20,2,2,Standard,14.92
4.58,10,3,6,Express,11.33
1.523,16,2,2,Standard,10.79
4.315,10,3,5,Standard,17.42
2.557,17,2,4,Standard,8.94
9.365,18,0,3,Standard,22.09
0.613,18,2,2,Standard,24.53
1.627,12,2,6,Standard,7.3
0.58,22,0,6,Standard,14.41
1.256,7,4,6,Standard,10.79
5.79,21,4,1,Standard,35.33
0.667,6,3,2,Express,11.43
0.764,7,1,5,Standard,4.1
1.92,11,2,5,Standard,8.83
1.292,14,2,2,Standard,17.62
1.956,18,6,5,Standard,6.8
1.054,20,5,2,Standard,10.6
3.528,9,3,5,Express,7.34
1.096,12,2,3,Standard,9.91
0.807,15,6,6,Standard,28.47
1.605,20,0,5,Standard,17.56
2.621,6,1,1,Standard,18.5
0.957,15,3,1,Express,11.47
10.431,22,0,2,Express,26.86
1.409,9,1,4,Standard,15.95
3.035,19,1,6,Standard,12.84
0.697,9,0,4,Standard,11.16
1.702,20,1,6,Standard,22.28
0.828,22,6,2,Standard,7.3
0.921,4,6,5,Standard,9.34
2.202,23,6,4,Standard,8.64
1.236,12,1,6,Standard,16.54
1.534,15,4,6,Standard,8.27
1.734,8,4,4,Standard,7.23
3.922,0,6,1,Standard,11.71
9.963,0,3,3,Standard,28.6
0.924,21,5,4,Standard,13.14
1.832,18,5,3,Express,24.34
3.935,13,0,5,Standard,8.46
2.368,20,1,4,Standard,11.52
1.769,16,2,1,Express,12.66
3.546,3,0,3,Standard,21.03
0.345,18,1,2,Standard,9.07
12.928,15,2,1,Standard,23.11
1.422,15,3,2,Standard,16.41
0.94,13,6,4,Standard,5.38
1.112,19,1,3,Standard,12.79
19.606,21,6,6,Standard,41.94
1.428,17,2,3,Express,5.83
0.965,14,5,5,Standard,11.36
0.491,9,2,6,Standard,2.24
0.334,1,0,2,Standard,8.12
17.991,15,6,5,Express,34.66
0.925,18,3,1,Standard,11.1
1.857,18,0,3,Standard,17.05
0.836,12,3,4,Standard,5.85
4.186,20,0,3,Standard,25.41
2.7,20,6,5,Standard,19.83
1.214,21,4,2,Express,22.06
5.711,21,1,6,Express,27.39
0.553,15,5,3,Standard,5.54
2.133,10,5,1,Express,13.0
12.166,16,2,6,Standard,9.7
7.184,23,4,4,Standard,18.55
5.857,22,1,1,Standard,22.15
1.738,12,6,1,Standard,17.78
2.07,10,3,4,Express,14.91
13.624,22,1,6,Standard,26.61
2.915,11,5,3,Standard,10.72
1.756,9,0,1,Standard,7.8
2.236,8,5,3,Standard,6.12
1.244,16,4,4,Standard,6.57
1.478,23,1,4,Standard,7.31
6.585,18,3,3,Standard,7.19
0.741,12,0,3,Express,17.24
0.852,12,3,3,Standard,9.26
5.012,20,2,5,Standard,19.68
0.936,15,0,6,Standard,12.49
1.319,10,2,2,Standard,10.67
13.721,11,5,3,Standard,14.89
0.623,20,3,1,Express,5.75
23.426,0,4,4,Standard,45.58
5.727,21,2,1,Standard,26.6
9.208,8,0,6,Standard,15.21
0.622,17,2,4,Standard,4.36
1.366,11,6,4,Express,15.28
9.899,21,2,4,Standard,12.3
0.849,21,3,2,Standard,10.95
1.584,13,0,4,Standard,10.39
0.933,11,3,4,Standard,10.09
2.929,22,5,4,Standard,15.79
3.546,21,2,5,Standard,19.14
5.395,3,6,3,Standard,38.31
1.633,22,1,5,Standard,10.29
0.84,0,5,5,Express,12.03
2.453,8,3,3,Express,24.16
5.289,7,4,6,Standard,24.19
1.787,17,1,6,Express,12.56
1.873,12,0,2,Standard,12.32
4.815,19,5,5,Standard,10.32
11.198,22,6,6,Standard,25.69
1.194,19,0,4,Standard,10.12
1.227,12,5,2,Standard,7.29
1.963,19,4,5,Express,8.38
0.913,8,0,2,Standard,16.85
1.076,17,4,1,Standard,15.07
1.434,12,5,1,Standard,13.51
4.69,15,0,2,Express,16.0
0.93,21,3,5,Standard,11.51
1.576,9,4,2,Standard,8.48
1.216,2,6,2,Standard,13.68
21.982,10,1,4,Standard,17.42
2.163,22,2,2,Express,20.1
3.011,20,2,6,Standard,15.01
0.551,19,3,5,Standard,3.86
3.151,4,5,1,Standard,10.35
2.608,20,2,6,Standard,15.91
1.416,0,5,3,Standard,18.01
0.979,1,6,3,Standard,2.81
4.755,16,0,3,Standard,20.55
2.233,13,3,2,Standard,8.25
6.951,16,3,6,Express,11.81
2.643,22,5,4,Standard,9.26
0.755,13,4,4,Standard,3.53
1.291,18,0,5,Standard,8.54
7.509,2,2,4,Express,27.84
1.904,2,5,3,Standard,14.08
1.091,11,5,6,Standard,15.83
1.192,2,5,2,Standard,15.9
1.419,11,2,2,Standard,11.4
3.774,17,6,3,Express,16.07
0.907,1,1,2,Standard,10.63
1.178,13,2,2,Standard,12.15
2.427,16,0,4,Standard,15.98
1.346,7,3,4,Express,14.9
2.704,20,2,6,Standard,24.09
2.226,20,6,6,Standard,18.38
1.484,19,4,4,Standard,6.72
0.79,21,2,4,Standard,37.9
1.248,8,5,2,Express,9.93
2.824,22,3,3,Express,24.14
6.38,17,4,4,Standard,12.46
2.452,7,2,1,Standard,10.62
1.244,10,0,1,Standard,13.61
1.776,11,3,6,Standard,4.81
2.427,16,0,2,Standard,11.39
1.226,10,4,4,Standard,23.73
3.237,6,6,5,Standard,14.23
5.536,22,4,4,Express,18.54
1.106,20,3,3,Express,13.34
3.802,18,3,6,Express,5.24
2.279,2,5,2,Standard,12.72
0.857,12,4,6,Express,10.62
1.851,20,4,4,Standard,7.57
1.044,16,6,1,Standard,12.56
20.662,0,0,2,Standard,46.46
2.266,9,5,6,Standard,20.19
1.262,20,3,3,Standard,18.02
1.289,10,4,3,Standard,11.13
1.768,7,1,1,Express,9.33
4.719,5,3,4,Standard,20.47
2.893,11,2,3,Standard,8.97
1.585,16,0,1,Express,8.04
4.135,9,6,4,Standard,21.89
4.46,21,2,3,Standard,16.17
0.792,8,5,1,Express,22.03
0.594,12,0,3,Standard,4.31
1.236,11,3,5,Standard,9.82
7.199,19,1,6,Standard,13.28
2.631,10,0,5,Express,23.0
1.16,22,4,1,Standard,15.3
2.356,18,6,6,Express,5.15
1.322,10,3,6,Standard,8.44
2.21,13,0,1,Standard,18.72
5.474,22,1,3,Standard,31.53
3.246,2,0,4,Standard,27.37
1.695,9,6,1,Standard,8.11
3.178,17,3,4,Standard,14.88
2.965,16,5,2,Express,15.28
1.266,23,0,2,Standard,14.02
2.361,22,5,1,Standard,15.46
5.624,0,5,5,Express,14.91
1.977,8,4,4,Standard,14.07
1.245,14,6,3,Express,9.71
3.467,1,6,5,Standard,15.96
2.789,20,1,2,Standard,10.03
5.064,3,6,5,Express,23.29
0.602,12,2,4,Standard,22.8
2.27,9,4,3,Standard,9.21
3.057,21,4,3,Standard,23.31
1.228,18,0,2,Standard,8.89
1.573,13,3,5,Standard,7.66
1.953,20,0,5,Standard,21.43
0.668,22,0,1,Express,21.33
1.963,22,6,5,Express,12.43
3.841,22,5,4,Standard,18.91
1.797,14,6,2,Standard,15.85
3.6,11,2,1,Standard,11.53
12.279,21,4,6,Standard,22.23
1.068,11,6,1,Express,12.84
16.399,0,6,6,Standard,21.43
0.848,19,1,5,Standard,9.43
2.164,7,2,6,Standard,10.43
2.146,19,0,1,Express,15.3
9.67,15,4,6,Standard,16.11
6.652,7,3,6,Standard,10.75
0.89,13,4,4,Standard,15.79
2.891,10,6,5,Standard,11.13
1.474,0,6,6,Standard,27.49
0.913,16,6,2,Standard,18.68
2.184,7,5,4,Standard,16.21
0.915,19,2,3,Standard,10.83
1.809,10,4,1,Standard,9.24
0.98,15,3,3,Standard,3.99
1.434,13,2,2,Standard,15.5
7.642,22,1,3,Standard,33.39
1.346,15,0,3,Standard,11.54
0.668,12,2,5,Standard,13.97
3.929,12,6,1,Standard,10.0
0.816,19,4,4,Standard,5.4
1.758,17,2,3,Standard,10.95
0.626,16,2,3,Standard,8.28
3.573,13,1,1,Standard,8.07
4.454,4,5,2,Standard,27.0
1.874,9,4,5,Express,20.36
2.57,12,5,2,Standard,13.77
0.73,8,4,1,Standard,18.38
1.964,17,6,1,Standard,18.75
2.791,10,2,5,Standard,7.38
1.618,18,5,4,Standard,14.71
4.085,7,6,1,Standard,22.28
3.256,17,2,2,Standard,15.4
1.379,3,6,6,Express,26.67
0.824,14,3,4,Standard,11.15
0.321,12,2,6,Standard,4.61
4.781,2,6,6,Express,17.62
1.004,14,0,4,Standard,6.66
0.732,17,0,4,Standard,6.28
3.734,8,5,2,Express,38.15
0.814,15,4,1,Standard,6.44
1.285,7,1,6,Standard,9.72
21.47,14,6,3,Express,23.12
1.279,1,6,5,Standard,12.31
0.832,15,3,3,Express,6.75
1.029,10,5,6,Standard,21.66
1.713,9,3,2,Standard,7.22
3.897,1,4,1,Standard,29.16
0.657,17,2,2,Standard,14.7
8.524,0,0,6,Standard,22.06
1.533,7,0,5,Standard,11.31
1.193,9,3,6,Standard,6.19
3.386,3,5,5,Standard,18.36
1.348,8,3,5,Standard,6.07
18.444,7,3,1,Standard,29.68
2.379,18,1,5,Standard,11.54
6.33,1,4,4,Standard,16.66
2.433,11,3,5,Standard,17.35
1.075,12,1,3,Standard,5.4
1.068,11,5,1,Express,10.69
0.943,8,2,3,Standard,9.28
1.398,14,1,5,Standard,6.49
2.311,19,0,6,Standard,15.88
1.737,18,4,2,Standard,15.0
0.56,3,5,1,Standard,28.4
4.924,2,4,5,Standard,19.46
10.522,0,0,2,Express,41.57
1.493,18,6,1,Express,17.97
15.286,13,6,6,Standard,25.66
1.42,15,3,4,Standard,6.83
3.776,7,0,5,Standard,8.35
2.676,17,2,4,Standard,6.14
6.107,22,6,6,Standard,30.92
3.1,19,2,5,Standard,7.86
1.685,2,6,2,Standard,10.72
3.404,7,3,5,Standard,8.67
1.53,18,1,2,Standard,14.76
2.488,18,4,3,Standard,9.58
0.801,10,0,6,Express,5.34
2.505,11,0,2,Standard,11.93
1.431,21,4,2,Standard,13.38
0.664,14,3,2,Standard,11.17
1.567,21,4,6,Express,10.93
2.268,12,0,5,Standard,8.12
1.281,9,6,1,Standard,14.32
4.97,2,6,3,Standard,18.54
3.738,19,2,5,Standard,13.28
3.763,19,4,4,Standard,9.11
0.498,8,2,3,Standard,18.11
10.09,22,4,4,Express,21.36
1.021,8,1,3,Standard,5.76
1.051,22,3,2,Standard,12.09
2.901,17,4,3,Standard,12.81
2.513,14,5,4,Standard,12.78
3.006,0,2,6,Express,19.61
2.481,15,4,3,Standard,10.27
3.819,13,5,6,Standard,13.84
3.452,7,3,2,Standard,13.92
2.52,14,6,2,Standard,13.48
2.129,17,5,6,Standard,12.52
0.916,9,2,4,Standard,13.97
1.162,22,5,4,Standard,5.91
5.192,19,0,5,Standard,16.31
5.982,8,4,4,Standard,18.89
0.81,11,3,6,Express,8.99
0.955,15,1,3,Standard,8.05
2.237,22,3,5,Standard,10.64
1.921,7,3,2,Standard,17.82
1.015,20,2,5,Standard,11.31
2.997,18,1,1,Standard,10.41
4.744,22,2,3,Standard,15.54
1.097,2,6,1,Standard,17.47
6.244,10,1,6,Express,15.08
5.266,19,2,4,Standard,15.64
4.994,11,1,5,Standard,18.33
2.533,22,4,5,Express,16.1
5.811,22,4,3,Express,21.5
1.667,21,4,3,Standard,14.06
7.222,22,4,1,Standard,15.12
2.642,13,4,1,Standard,9.13
5.51,7,4,3,Standard,16.57
1.945,8,6,5,Express,12.62
1.43,2,5,3,Express,15.17
2.252,20,4,4,Standard,9.9
0.513,16,1,3,Standard,8.63
0.949,17,1,5,Standard,10.35
1.254,16,4,2,Standard,10.26
16.115,17,5,6,Standard,33.75
1.326,14,1,2,Standard,7.47
4.434,2,5,1,Standard,14.41
2.409,20,2,2,Standard,9.08
13.419,19,2,5,Standard,24.55
1.01,18,3,6,Standard,25.79
1.777,20,4,6,Standard,17.87
3.662,7,5,2,Standard,22.12
5.257,21,3,3,Standard,19.14
0.97,10,0,5,Express,6.76
2.16,13,6,2,Express,15.33
9.223,1,6,5,Standard,21.38
1.784,2,6,5,Standard,13.49
1.163,2,6,2,Standard,21.7
0.665,12,0,1,Standard,14.69
1.687,9,1,6,Standard,9.0
9.334,8,0,3,Standard,10.96
9.67,17,0,4,Standard,18.25
7.037,22,5,5,Express,26.62
2.854,17,6,1,Standard,16.6
1.662,21,5,2,Standard,8.32
1.338,14,3,5,Standard,8.24
1.387,21,3,2,Standard,10.11
1.333,22,5,2,Standard,10.32
1.945,21,1,5,Standard,10.54
10.107,15,3,2,Standard,10.86
1.432,23,2,6,Standard,6.72
0.954,8,2,6,Express,10.16
1.29,22,3,4,Standard,6.88
1.243,3,2,2,Standard,17.62
2.725,10,5,4,Express,12.38
2.863,15,1,1,Express,8.7
3.611,12,4,5,Express,11.55
2.2,10,2,3,Standard,10.94
0.534,1,4,2,Standard,10.68
7.66,19,5,6,Express,17.49
6.684,17,1,3,Standard,19.77
2.054,11,6,4,Standard,9.59
5.522,1,6,5,Express,24.88
2.62,14,1,2,Standard,10.92
1.955,6,3,2,Express,15.49
8.554,10,3,6,Standard,14.34
4.229,20,0,3,Express,18.78
0.955,10,0,5,Express,9.35
3.243,19,2,6,Express,21.72
0.553,19,0,4,Express,13.96
2.207,15,0,1,Standard,13.11
2.576,21,3,3,Standard,13.56
14.138,3,4,5,Standard,30.15
